,mean,mean,mean,std,std,std
input_source,script,tanenbaum,transcript,script,tanenbaum,transcript
llm,,,,,,
anthropic,0.6654477204595294,0.5584000263895307,0.5126222372055054,0.08397153580930514,0.1274946715010318,0.1489036044141044
deepseek,0.5836462314639773,0.4875223594052451,0.39900788239070345,0.11511478450257724,0.12971572676984486,0.12335978561131031
google,0.6748508087226323,0.6180732186351504,0.6099062061735562,0.12613540520906014,0.1015219653384926,0.18823288417827871
openai,0.6247180380991527,0.5404706256730216,0.464228161743709,0.08149932343862634,0.14248752174547433,0.1862728340395066
