,cosine_similarity,cosine_similarity,adherence_score,adherence_score
,mean,std,mean,std
layer,,,,
1,0.5748041085898876,0.09685269979505329,0.771875,0.38586579365666207
2,0.542806763201952,0.15009298852433622,0.829375,0.31106312519670803
3,0.6162980124354362,0.10310658853736342,0.760625,0.27374959230237095
4,0.5536817163228989,0.11039347003931314,0.929375,0.0828698420071241
5,0.6222855746746063,0.13767414881269807,0.8362499999999999,0.3269638468437407
6,0.5736222565174103,0.08320376134878234,0.8175,0.33405517080694497
7,0.7052165195345879,0.1752710829473962,0.936875,0.0933096802511477
